0.001	0.000999925
0.002	0.0019997
0.003	0.00299932
0.004	0.00399879
0.005	0.0049981
0.006	0.00599726
0.007	0.00699627
0.008	0.00799512
0.009	0.00899381
0.01	0.00999234
0.011	0.0109907
0.012	0.0119889
0.013	0.012987
0.014	0.0139849
0.015	0.0149826
0.016	0.0159801
0.017	0.0169775
0.018	0.0179748
0.019	0.0189718
0.02	0.0199687
0.021	0.0209654
0.022	0.021962
0.023	0.0229583
0.024	0.0239546
0.025	0.0249506
0.026	0.0259464
0.027	0.0269421
0.028	0.0279376
0.029	0.028933
0.03	0.0299281
0.031	0.0309231
0.032	0.0319179
0.033	0.0329125
0.034	0.0339069
0.035	0.0349012
0.036	0.0358952
0.037	0.0368891
0.038	0.0378828
0.039	0.0388763
0.04	0.0398696
0.041	0.0408627
0.042	0.0418557
0.043	0.0428484
0.044	0.043841
0.045	0.0448333
0.046	0.0458255
0.047	0.0468175
0.048	0.0478093
0.049	0.0488008
0.05	0.0497922
0.051	0.0507834
0.052	0.0517744
0.053	0.0527652
0.054	0.0537558
0.055	0.0547461
0.056	0.0557363
0.057	0.0567263
0.058	0.0577161
0.059	0.0587056
0.06	0.059695
0.061	0.0606841
0.062	0.0616731
0.063	0.0626618
0.064	0.0636503
0.065	0.0646386
0.066	0.0656267
0.067	0.0666146
0.068	0.0676023
0.069	0.0685897
0.07	0.0695769
0.071	0.0705639
0.072	0.0715507
0.073	0.0725373
0.074	0.0735237
0.075	0.0745098
0.076	0.0754957
0.077	0.0764814
0.078	0.0774669
0.079	0.0784521
0.08	0.0794371
0.081	0.0804219
0.082	0.0814065
0.083	0.0823908
0.084	0.0833749
0.085	0.0843588
0.086	0.0853424
0.087	0.0863258
0.088	0.087309
0.089	0.0882919
0.09	0.0892746
0.091	0.0902571
0.092	0.0912393
0.093	0.0922213
0.094	0.093203
0.095	0.0941845
0.096	0.0951658
0.097	0.0961468
0.098	0.0971276
0.099	0.0981081
0.1	0.0990884
0.101	0.100068
0.102	0.101048
0.103	0.102028
0.104	0.103007
0.105	0.103986
0.106	0.104965
0.107	0.105943
0.108	0.106922
0.109	0.1079
0.11	0.108878
0.111	0.109855
0.112	0.110832
0.113	0.111809
0.114	0.112786
0.115	0.113763
0.116	0.114739
0.117	0.115715
0.118	0.116691
0.119	0.117666
0.12	0.118641
0.121	0.119616
0.122	0.120591
0.123	0.121565
0.124	0.122539
0.125	0.123513
0.126	0.124487
0.127	0.12546
0.128	0.126433
0.129	0.127406
0.13	0.128378
0.131	0.129351
0.132	0.130323
0.133	0.131294
0.134	0.132266
0.135	0.133237
0.136	0.134208
0.137	0.135178
0.138	0.136148
0.139	0.137118
0.14	0.138088
0.141	0.139058
0.142	0.140027
0.143	0.140996
0.144	0.141964
0.145	0.142932
0.146	0.1439
0.147	0.144868
0.148	0.145836
0.149	0.146803
0.15	0.14777
0.151	0.148736
0.152	0.149702
0.153	0.150668
0.154	0.151634
0.155	0.152599
0.156	0.153564
0.157	0.154529
0.158	0.155494
0.159	0.156458
0.16	0.157422
0.161	0.158385
0.162	0.159348
0.163	0.160311
0.164	0.161274
0.165	0.162236
0.166	0.163198
0.167	0.16416
0.168	0.165122
0.169	0.166083
0.17	0.167043
0.171	0.168004
0.172	0.168964
