0	3	3
0.01	3.02759	2.53078
0.02	3.05086	2.13491
0.03	3.07049	1.80093
0.04	3.08705	1.51916
0.05	3.10102	1.28143
0.06	3.1128	1.08088
0.07	3.12274	0.911671
0.08	3.13112	0.768917
0.09	3.13819	0.64848
0.1	3.14416	0.546872
0.11	3.14919	0.461147
0.12	3.15342	0.388824
0.13	3.157	0.327808
0.14	3.16001	0.27633
0.15	3.16255	0.232899
0.16	3.16469	0.196258
0.17	3.1665	0.165345
0.18	3.16802	0.139265
0.19	3.1693	0.117262
0.2	3.17037	0.0986985
0.21	3.17128	0.0830371
0.22	3.17204	0.0698241
0.23	3.17268	0.0586767
0.24	3.17322	0.049272
0.25	3.17367	0.0413375
0.26	3.17405	0.0346434
0.27	3.17437	0.0289958
0.28	3.17463	0.024231
0.29	3.17486	0.0202112
0.3	3.17504	0.0168198
0.31	3.17519	0.0139585
0.32	3.17532	0.0115446
0.33	3.17543	0.00950802
0.34	3.17551	0.00778983
0.35	3.17558	0.00634025
0.36	3.17564	0.00511728
0.37	3.17569	0.0040855
0.38	3.17572	0.00321502
0.39	3.17575	0.00248062
0.4	3.17577	0.00186103
0.41	3.17579	0.0013383
0.42	3.1758	0.000897296
0.43	3.17581	0.000525232
0.44	3.17581	0.000211334
0.45	3.17581	-5.34918e-05
0.46	3.17581	-0.000276916
0.47	3.17581	-0.000465411
0.48	3.1758	-0.000624438
0.49	3.17579	-0.000758603
0.5	3.17579	-0.000871792
0.51	3.17578	-0.000967286
0.52	3.17577	-0.00104785
0.53	3.17576	-0.00111582
0.54	3.17574	-0.00117316
0.55	3.17573	-0.00122154
0.56	3.17572	-0.00126235
0.57	3.17571	-0.00129678
0.58	3.17569	-0.00132583
0.59	3.17568	-0.00135033
0.6	3.17567	-0.00137101
0.61	3.17565	-0.00138845
0.62	3.17564	-0.00140316
0.63	3.17562	-0.00141557
0.64	3.17561	-0.00142604
0.65	3.1756	-0.00143488
0.66	3.17558	-0.00144233
0.67	3.17557	-0.00144861
0.68	3.17555	-0.00145391
0.69	3.17554	-0.00145838
0.7	3.17552	-0.00146216
0.71	3.17551	-0.00146534
0.72	3.17549	-0.00146802
0.73	3.17548	-0.00147028
0.74	3.17546	-0.00147219
0.75	3.17545	-0.0014738
0.76	3.17543	-0.00147515
0.77	3.17542	-0.00147629
0.78	3.17541	-0.00147726
0.79	3.17539	-0.00147807
0.8	3.17538	-0.00147875
0.81	3.17536	-0.00147933
0.82	3.17535	-0.00147981
0.83	3.17533	-0.00148022
0.839999	3.17532	-0.00148056
0.849999	3.1753	-0.00148085
0.859999	3.17529	-0.00148109
0.869999	3.17527	-0.00148129
0.879999	3.17526	-0.00148146
0.889999	3.17524	-0.00148161
0.899999	3.17523	-0.00148173
0.909999	3.17521	-0.00148183
0.919999	3.1752	-0.00148191
0.929999	3.17518	-0.00148198
0.939999	3.17517	-0.00148203
0.949999	3.17515	-0.00148208
0.959999	3.17514	-0.00148212
0.969999	3.17512	-0.00148215
0.979999	3.17511	-0.00148218
0.989999	3.17509	-0.0014822
0.999999	3.17508	-0.00148221
1.01	3.17507	-0.00148223
1.02	3.17505	-0.00148224
1.03	3.17504	-0.00148224
1.04	3.17502	-0.00148225
1.05	3.17501	-0.00148225
1.06	3.17499	-0.00148225
1.07	3.17498	-0.00148225
1.08	3.17496	-0.00148225
1.09	3.17495	-0.00148225
1.1	3.17493	-0.00148225
1.11	3.17492	-0.00148224
1.12	3.1749	-0.00148224
1.13	3.17489	-0.00148223
1.14	3.17487	-0.00148223
1.15	3.17486	-0.00148222
1.16	3.17484	-0.00148222
1.17	3.17483	-0.00148221
1.18	3.17481	-0.00148221
1.19	3.1748	-0.0014822
1.2	3.17478	-0.0014822
1.21	3.17477	-0.00148219
1.22	3.17475	-0.00148218
1.23	3.17474	-0.00148218
1.24	3.17473	-0.00148217
1.25	3.17471	-0.00148216
1.26	3.1747	-0.00148216
