3.19	5.104
3.2	5.136
3.21	5.1681
3.22	5.2003
3.23	5.2326
3.24	5.265
3.25	5.2975
3.26	5.3301
3.27	5.3628
3.28	5.3956
3.29	5.4285
3.3	5.4615
3.31	5.4946
3.32	5.5278
3.33	5.5611
3.34	5.5945
3.35	5.628
3.36	5.6616
3.37	5.6953
3.38	5.7291
3.39	5.763
3.4	5.797
3.41	5.8311
3.42	5.8653
3.43	5.8996
3.44	5.934
3.45	5.9685
3.46	6.0031
3.47	6.0378
3.48	6.0726
3.49	6.1075
3.5	6.1425
3.51	6.1776
3.52	6.2128
3.53	6.2481
3.54	6.2835
3.55	6.319
3.56	6.3546
3.57	6.3903
3.58	6.4261
3.59	6.462
3.6	6.498
3.61	6.5341
3.62	6.5703
3.63	6.6066
3.64	6.643
3.65	6.6795
3.66	6.7161
3.67	6.7528
3.68	6.7896
3.69	6.8265
3.7	6.8635
3.71	6.9006
3.72	6.9378
3.73	6.9751
3.74	7.0125
3.75	7.05
3.76	7.0876
3.77	7.1253
3.78	7.1631
3.79	7.201
3.8	7.239
3.81	7.2771
3.82	7.3153
3.83	7.3536
3.84	7.392
3.85	7.4305
3.86	7.4691
3.87	7.5078
3.88	7.5466
3.89	7.5855
3.9	7.6245
3.91	7.6636
3.92	7.7028
3.93	7.7421
3.94	7.7815
3.95	7.821
3.96	7.8606
3.97	7.9003
3.98	7.9401
3.99	7.98
4	8.02
4.01	8.0601
4.02	8.1003
4.03	8.1406
4.04	8.181
4.05	8.2215
4.06	8.2621
4.07	8.3028
4.08	8.3436
4.09	8.3845
4.1	8.4255
4.11	8.4666
4.12	8.5078
4.13	8.5491
4.14	8.5905
4.15	8.632
4.16	8.6736
4.17	8.7153
4.18	8.7571
4.19	8.799
4.2	8.841
4.21	8.8831
4.22	8.9253
4.23	8.9676
4.24	9.01
4.25	9.0525
4.26	9.0951
4.27	9.1378
4.28	9.1806
4.29	9.2235
4.3	9.2665
4.31	9.3096
4.32	9.3528
4.33	9.3961
4.34	9.4395
4.35	9.483
4.36	9.5266
4.37	9.5703
4.38	9.6141
4.39	9.658
4.4	9.702
4.41	9.7461
4.42	9.7903
4.43	9.8346
4.44	9.879
4.45	9.9235
4.46	9.9681
4.47	10.0128
4.48	10.0576
4.49	10.1025
4.5	10.1475
4.51	10.1926
4.52	10.2378
4.53	10.2831
4.54	10.3285
4.55	10.374
4.56	10.4196
4.57	10.4653
4.58	10.5111
4.59	10.557
4.6	10.603
4.61	10.6491
4.62	10.6953
4.63	10.7416
4.64	10.788
4.65	10.8345
4.66	10.8811
4.67	10.9278
4.68	10.9746
4.69	11.0215
4.7	11.0685
4.71	11.1156
4.72	11.1628
4.73	11.2101
4.74	11.2575
4.75	11.305
4.76	11.3526
4.77	11.4003
4.78	11.4481
4.79	11.496
4.8	11.544
4.81	11.5921
4.82	11.6403
4.83	11.6886
4.84	11.737
4.85	11.7855
4.86	11.8341
4.87	11.8828
4.88	11.9316
4.89	11.9805
4.9	12.0295
4.91	12.0786
4.92	12.1278
4.93	12.1771
4.94	12.2265
4.95	12.276
4.96	12.3256
4.97	12.3753
4.98	12.4251
4.99	12.475
5	12.525
5.01	12.5751
5.02	12.6253
5.03	12.6756
5.04	12.726
5.05	12.7765
5.06	12.8271
5.07	12.8778
5.08	12.9286
5.09	12.9795
5.1	13.0305
5.11	13.0816
5.12	13.1328
5.13	13.1841
5.14	13.2355
5.15	13.287
5.16	13.3386
5.17	13.3903
5.18	13.4421
5.19	13.494
5.2	13.546
5.21	13.5981
5.22	13.6503
5.23	13.7026
5.24	13.755
5.25	13.8075
5.26	13.8601
5.27	13.9128
5.28	13.9656
5.29	14.0185
5.3	14.0715
5.31	14.1246
5.32	14.1778
5.33	14.2311
5.34	14.2845
5.35	14.338
5.36	14.3916
5.37	14.4453
5.38	14.4991
5.39	14.553
5.4	14.607
5.41	14.6611
5.42	14.7153
5.43	14.7696
5.44	14.824
5.45	14.8785
5.46	14.9331
5.47	14.9878
5.48	15.0426
5.49	15.0975
5.5	15.1525
5.51	15.2076
5.52	15.2628
5.53	15.3181
5.54	15.3735
5.55	15.429
5.56	15.4846
5.57	15.5403
5.58	15.5961
5.59	15.652
5.6	15.708
5.61	15.7641
5.62	15.8203
5.63	15.8766
5.64	15.933
5.65	15.9895
5.66	16.0461
5.67	16.1028
5.68	16.1596
5.69	16.2165
5.7	16.2735
5.71	16.3306
5.72	16.3878
5.73	16.4451
5.74	16.5025
5.75	16.56
5.76	16.6176
5.77	16.6753
5.78	16.7331
5.79	16.791
5.8	16.849
5.81	16.9071
5.82	16.9653
5.83	17.0236
5.84	17.082
5.85	17.1405
5.86	17.1991
5.87	17.2578
5.88	17.3166
5.89	17.3755
5.9	17.4345
5.91	17.4936
5.92	17.5528
5.93	17.6121
5.94	17.6715
5.95	17.731
5.96	17.7906
5.97	17.8503
5.98	17.9101
5.99	17.97
6	18.03
6.01	18.0901
6.02	18.1503
6.03	18.2106
6.04	18.271
6.05	18.3315
6.06	18.3921
6.07	18.4528
6.08	18.5136
6.09	18.5745
6.1	18.6355
6.11	18.6966
6.12	18.7578
6.13	18.8191
6.14	18.8805
6.15	18.942
6.16	19.0036
6.17	19.0653
6.18	19.1271
6.19	19.189
6.2	19.251
6.21	19.3131
6.22	19.3753
6.23	19.4376
6.24	19.5
6.25	19.5625
6.26	19.6251
6.27	19.6878
6.28	19.7506
6.29	19.8135
6.3	19.8765
6.31	19.9396
6.32	20.0028
6.33	20.0661
6.34	20.1295
6.35	20.193
6.36	20.2566
6.37	20.3203
6.38	20.3841
6.39	20.448
6.4	20.512
6.41	20.5761
6.42	20.6403
6.43	20.7046
6.44	20.769
6.45	20.8335
6.46	20.8981
6.47	20.9628
6.48	21.0276
6.49	21.0925
6.5	21.1575
6.51	21.2226
6.52	21.2878
6.53	21.3531
6.54	21.4185
6.55	21.484
6.56	21.5496
6.57	21.6153
6.58	21.6811
6.59	21.747
6.6	21.813
6.61	21.8791
6.62	21.9453
6.63	22.0116
6.64	22.078
6.65	22.1445
6.66	22.2111
6.67	22.2778
6.68	22.3446
6.69	22.4115
6.7	22.4785
6.71	22.5456
6.72	22.6128
6.73	22.6801
6.74	22.7475
6.75	22.815
6.76	22.8826
6.77	22.9503
6.78	23.0181
6.79	23.086
6.8	23.154
6.81	23.2221
6.82	23.2903
6.83	23.3586
6.84	23.427
6.85	23.4955
6.86	23.5641
6.87	23.6328
6.88	23.7016
6.89	23.7705
6.9	23.8395
6.91	23.9086
6.92	23.9778
6.93	24.0471
6.94	24.1165
6.95	24.186
6.96	24.2556
6.97	24.3253
6.98	24.3951
6.99	24.465
7	24.535
7.01	24.6051
7.02	24.6753
7.03	24.7456
7.04	24.816
7.05	24.8865
7.06	24.9571
7.07	25.0278
7.08	25.0986
7.09	25.1695
7.1	25.2405
7.11	25.3116
7.12	25.3828
7.13	25.4541
7.14	25.5255
7.15	25.597
7.16	25.6686
7.17	25.7403
7.18	25.8121
7.19	25.884
7.2	25.956
7.21	26.0281
7.22	26.1003
7.23	26.1726
7.24	26.245
7.25	26.3175
7.26	26.3901
7.27	26.4628
7.28	26.5356
7.29	26.6085
7.3	26.6815
7.31	26.7546
7.32	26.8278
7.33	26.9011
7.34	26.9745
7.35	27.048
7.36	27.1216
7.37	27.1953
7.38	27.2691
7.39	27.343
7.4	27.417
7.41	27.4911
7.42	27.5653
7.43	27.6396
7.44	27.714
7.45	27.7885
7.46	27.8631
7.47	27.9378
7.48	28.0126
7.49	28.0875
7.5	28.1625
7.51	28.2376
7.52	28.3128
7.53	28.3881
7.54	28.4635
7.55	28.539
7.56	28.6146
7.57	28.6903
7.58	28.7661
7.59	28.842
7.6	28.918
7.61	28.9941
7.62	29.0703
7.63	29.1466
7.64	29.223
7.65	29.2995
7.66	29.3761
7.67	29.4528
7.68	29.5296
7.69	29.6065
7.7	29.6835
7.71	29.7606
7.72	29.8378
7.73	29.9151
7.74	29.9925
7.75	30.07
7.76	30.1476
7.77	30.2253
7.78	30.3031
7.79	30.381
7.8	30.459
7.81	30.5371
7.82	30.6153
7.83	30.6936
7.84	30.772
7.85	30.8505
7.86	30.9291
7.87	31.0078
7.88	31.0866
7.89	31.1655
7.9	31.2445
7.91	31.3236
7.92	31.4028
7.93	31.4821
7.94	31.5615
7.95	31.641
7.96	31.7206
7.97	31.8003
7.98	31.8801
7.99	31.96
8	32.04
8.01	32.1201
8.02	32.2003
8.03	32.2806
8.04	32.361
8.05	32.4415
8.06	32.5221
8.07	32.6028
8.08	32.6836
8.09	32.7645
8.1	32.8455
8.11	32.9266
8.12	33.0078
8.13	33.0891
8.14	33.1705
8.15	33.252
8.16	33.3336
8.17	33.4153
8.18	33.4971
8.19	33.579
8.2	33.661
8.21	33.7431
8.22	33.8253
8.23	33.9076
8.24	33.99
8.25	34.0725
8.26	34.1551
8.27	34.2378
8.28	34.3206
8.29	34.4035
8.3	34.4865
8.31	34.5696
8.32	34.6528
8.33	34.7361
8.34	34.8195
8.35	34.903
8.36	34.9866
8.37	35.0703
8.38	35.1541
8.39	35.238
8.4	35.322
8.41	35.4061
8.42	35.4903
8.43	35.5746
8.44	35.659
8.45	35.7435
8.46	35.8281
8.47	35.9128
8.48	35.9976
8.49	36.0825
8.5	36.1675
8.51	36.2526
8.52	36.3378
8.53	36.4231
8.54	36.5085
8.55	36.594
8.56	36.6796
8.57	36.7653
8.58	36.8511
8.59	36.937
8.6	37.023
8.61	37.1091
8.62	37.1953
8.63	37.2816
8.64	37.368
8.65	37.4545
8.66	37.5411
8.67	37.6278
8.68	37.7146
8.69	37.8015
8.7	37.8885
8.71	37.9756
8.72	38.0628
8.73	38.1501
8.74	38.2375
8.75	38.325
8.76	38.4126
8.77	38.5003
8.78	38.5881
8.79	38.676
8.8	38.764
8.81	38.8521
8.82	38.9403
8.83	39.0286
8.84	39.117
8.85	39.2055
8.86	39.2941
8.87	39.3828
8.88	39.4716
8.89	39.5605
8.9	39.6495
8.91	39.7386
8.92	39.8278
8.93	39.9171
8.94	40.0065
8.95	40.096
8.96	40.1856
8.97	40.2753
8.98	40.3651
8.99	40.455
9	40.545
9.01	40.6351
9.02	40.7253
9.03	40.8156
9.04	40.906
9.05	40.9965
9.06	41.0871
9.07	41.1778
9.08	41.2686
9.09	41.3595
9.1	41.4505
9.11	41.5416
9.12	41.6328
9.13	41.7241
9.14	41.8155
9.15	41.907
9.16	41.9986
9.17	42.0903
9.18	42.1821
9.19	42.274
9.2	42.366
9.21	42.4581
9.22	42.5503
9.23	42.6426
9.24	42.735
9.25	42.8275
9.26	42.9201
9.27	43.0128
9.28	43.1056
9.29	43.1985
9.3	43.2915
9.31	43.3846
9.32	43.4778
9.33	43.5711
9.34	43.6645
9.35	43.758
9.36	43.8516
9.37	43.9453
9.38	44.0391
9.39	44.133
9.4	44.227
9.41	44.3211
9.42	44.4153
9.43	44.5096
9.44	44.604
9.45	44.6985
9.46	44.7931
9.47	44.8878
9.48	44.9826
9.49	45.0775
9.5	45.1725
9.51	45.2676
9.52	45.3628
9.53	45.4581
9.54	45.5535
9.55	45.649
9.56	45.7446
9.57	45.8403
9.58	45.9361
9.59	46.032
9.6	46.128
9.61	46.2241
9.62	46.3203
9.63	46.4166
9.64	46.513
9.65	46.6095
9.66	46.7061
9.67	46.8028
9.68	46.8996
9.69	46.9965
9.7	47.0935
9.71	47.1906
9.72	47.2878
9.73	47.3851
9.74	47.4825
9.75	47.58
9.76	47.6776
9.77	47.7753
9.78	47.8731
9.79	47.971
9.8	48.069
9.81	48.1671
9.82	48.2653
9.83	48.3636
9.84	48.462
9.85	48.5605
9.86	48.6591
9.87	48.7578
9.88	48.8566
9.89	48.9555
9.9	49.0545
9.91	49.1536
9.92	49.2528
9.93	49.3521
9.94	49.4515
9.95	49.551
9.96	49.6506
9.97	49.7503
9.98	49.8501
9.99	49.95
10	50.05
