0	0.1	0.2	-0.1	0.2	100	1	1
0.001	0.0998901	0.20018	-0.1099	0.1799	100	1	1
0.002	0.0997703	0.20034	-0.119789	0.159782	100	1	1
0.003	0.0996406	0.200479	-0.129665	0.139647	100	1	1
0.004	0.0995011	0.200599	-0.139528	0.119498	100	1	1
0.005	0.0993517	0.200698	-0.149377	0.0993374	100	1	1
0.006	0.0991925	0.200777	-0.159211	0.0791663	100	1	1
0.007	0.0990235	0.200836	-0.169029	0.0589869	100	1	1
0.008	0.0988447	0.200875	-0.178829	0.0388015	100	1	1
0.009	0.0986561	0.200894	-0.188612	0.018612	100	1	1
0.01	0.0984577	0.200892	-0.198375	-0.00157966	100	1	1
0.011	0.0982496	0.20087	-0.208119	-0.0217713	100	1	1
0.012	0.0980317	0.200828	-0.217841	-0.041961	100	1	1
0.013	0.0978042	0.200766	-0.227541	-0.0621466	100	1	1
0.014	0.097567	0.200684	-0.237219	-0.0823262	100	1	1
0.015	0.0973201	0.200581	-0.246872	-0.102498	100	1	1
0.016	0.0970636	0.200459	-0.256501	-0.122659	100	1	1
0.017	0.0967975	0.200316	-0.266104	-0.142808	100	1	1
0.018	0.0965218	0.200153	-0.27568	-0.162944	100	1	1
0.019	0.0962366	0.19997	-0.285229	-0.183062	100	1	1
0.02	0.0959418	0.199767	-0.294749	-0.203163	100	1	1
0.021	0.0956376	0.199544	-0.304239	-0.223244	100	1	1
0.022	0.0953239	0.1993	-0.313699	-0.243302	100	1	1
0.023	0.0950008	0.199037	-0.323127	-0.263336	100	1	1
0.024	0.0946682	0.198754	-0.332523	-0.283344	100	1	1
0.025	0.0943264	0.19845	-0.341886	-0.303323	100	1	1
0.026	0.0939751	0.198127	-0.351215	-0.323272	100	1	1
0.027	0.0936146	0.197784	-0.360508	-0.343189	100	1	1
0.028	0.0932449	0.197421	-0.369765	-0.363072	100	1	1
0.029	0.0928659	0.197038	-0.378986	-0.382918	100	1	1
0.03	0.0924777	0.196635	-0.388168	-0.402726	100	1	1
